"Id[String]","DropId[String]","MinAmountAdd[Int]","MinAmountMultiplier[Float]","MinAmountMultiplyByStacks[Bool]","MaxAmountAdd[Int]","MaxAmountMultiplier[Float]","MaxAmountMultiplyByStacks[Bool]","PercentChanceAdd[Float]","PercentChanceMultiplier[Float]","PercentChanceMultiplyByStacks[Bool]","WeightedChanceAdd[Int]","WeightedChanceMultiplier[Float]","WeightedChanceMultiplyByStacks[Bool]"
"Fertilized Carrot","Carrot Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Potato","Potato Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Wheat","Wheat Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Grape","Grapes Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Watermelon","Watermelon Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Apple","Apple Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Soybean","Soybean Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Green Soybean","Green Soybean Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Tomato","Tomato Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"
"Fertilized Tapped Maple","Maple Syrup Collect","0","2.0","False","0","2.0","False","0.0","0.0","False","0","0.0","False"